ID,Name,Price_amount,Price_currency,Photo,Specs,Rating,SupplierInfo,MadeIn,ProductionCompanyName,Status,Store_ID
d35da8c0-df61-4634-a353-09cc2f091ff6,Sleek Granite Fish,6513,EUR,,Ex velit quisquam fuga. Molestias omnis incidunt debitis aut. Dolores illo itaque recusandae odit. Error sit quo atque. Minima placeat harum nihil voluptatibus atque qui placeat voluptas quia. Minima voluptas omnis.,5,Doloremque quo aspernatur repudiandae recusandae et quas sunt qui soluta. Reiciendis molestiae minus architecto impedit quis in quidem quo distinctio. Voluptatem temporibus voluptate voluptas et iusto error. Asperiores deserunt non modi dolore. Et itaque quos laboriosam sit suscipit eveniet,Ukraine,Runolfsson - Smitham,OUT_OF_STOCK,0b99cf7c-7075-42a1-b01b-a2972209e64d
5fce646e-00ca-4187-8002-f050fed240d8,Handmade Rubber Car,7262,USD,https://s3.amazonaws.com/uifaces/faces/twitter/heykenneth/128.jpg,Libero adipisci sint veniam mollitia rerum et odio. Quia sed quibusdam voluptas id. Eum mollitia aut nihil quidem. Sit illo et minima vel debitis recusandae.,3,Dolor et aut. Autem neque debitis voluptas a eveniet nihil corporis. Esse harum aliquid quaerat debitis cumque dolor nihil.,Israel,Graham, Rodriguez and Bechtelar,OUT_OF_STOCK,18da6328-d816-4e95-a736-70b67953c59c
704b4359-c9da-4bed-ad60-d656b866525d,Fantastic Metal Car,2777,EUR,https://s3.amazonaws.com/uifaces/faces/twitter/timothycd/128.jpg,Commodi minus consequatur. Exercitationem a accusamus odit corporis aliquam mollitia sed. Praesentium debitis saepe amet. Nihil id dolores. Voluptas dolores autem quia provident numquam.,4,Facilis exercitationem officiis rem quia magnam aliquam. Ratione deleniti est minus iusto nihil at voluptatem hic. Eos eum harum id sit soluta. Placeat ut dolores natus perspiciatis id asperiores.,Monaco,Lesch - Balistreri,STORAGE,0b99cf7c-7075-42a1-b01b-a2972209e64d
9869343d-e24e-4542-97cd-26d30dbdcc63,Handcrafted Cotton Tuna,7455,USD,https://s3.amazonaws.com/uifaces/faces/twitter/mashaaaaal/128.jpg,Ex necessitatibus aliquam molestias autem reiciendis et ullam. Tenetur magnam maxime ipsum explicabo iure consequatur at et. A eos tenetur in vel voluptatem excepturi expedita voluptatem.,3,Ea ratione et voluptas in officia consequatur deleniti ut veniam. Quae quaerat quae tempore esse cumque qui. Quas suscipit ut earum libero quia quas libero ea. Eum consequatur provident et.,Congo,Morar Group,STORAGE,1fd20164-0406-47f4-b6a9-a9894ba7fe04
0482a0ca-65be-4b81-85d5-b90667439807,Sleek Granite Fish,6513,USD,,Ex velit quisquam fuga. Molestias omnis incidunt debitis aut. Dolores illo itaque recusandae odit. Error sit quo atque. Minima placeat harum nihil voluptatibus atque qui placeat voluptas quia. Minima voluptas omnis.,5,Doloremque quo aspernatur repudiandae recusandae et quas sunt qui soluta. Reiciendis molestiae minus architecto impedit quis in quidem quo distinctio. Voluptatem temporibus voluptate voluptas et iusto error. Asperiores deserunt non modi dolore. Et itaque quos laboriosam sit suscipit eveniet.,Ukraine,Runolfsson - Smitham,OUT_OF_STOCK,0b99cf7c-7075-42a1-b01b-a2972209e64d
a205720c-e293-4a5b-914b-1f0372022d11,Handmade Rubber Car,7262,USD,https://s3.amazonaws.com/uifaces/faces/twitter/heykenneth/128.jpg,Libero adipisci sint veniam mollitia rerum et odio. Quia sed quibusdam voluptas id. Eum mollitia aut nihil quidem. Sit illo et minima vel debitis recusandae.,3,Dolor et aut. Autem neque debitis voluptas a eveniet nihil corporis. Esse harum aliquid quaerat debitis cumque dolor nihil.,Israel,Graham, Rodriguez and Bechtelar,OUT_OF_STOCK,18da6328-d816-4e95-a736-70b67953c59c
f7e0a660-24c6-44f8-a815-1410674cee21,Fantastic Metal Car,2777,EUR,https://s3.amazonaws.com/uifaces/faces/twitter/timothycd/128.jpg,Commodi minus consequatur. Exercitationem a accusamus odit corporis aliquam mollitia sed. Praesentium debitis saepe amet. Nihil id dolores. Voluptas dolores autem quia provident numquam.,4,Facilis exercitationem officiis rem quia magnam aliquam. Ratione deleniti est minus iusto nihil at voluptatem hic. Eos eum harum id sit soluta. Placeat ut dolores natus perspiciatis id asperiores.,Monaco,Lesch - Balistreri,STORAGE,6eb2935e-cbd1-46be-b1fa-e04ae14a6272
07450de0-3682-4bf2-a1e7-a22053404d7b,Handcrafted Cotton Tuna,7455,EUR,https://s3.amazonaws.com/uifaces/faces/twitter/mashaaaaal/128.jpg,Ex necessitatibus aliquam molestias autem reiciendis et ullam. Tenetur magnam maxime ipsum explicabo iure consequatur at et. A eos tenetur in vel voluptatem excepturi expedita voluptatem.,3,Ea ratione et voluptas in officia consequatur deleniti ut veniam. Quae quaerat quae tempore esse cumque qui. Quas suscipit ut earum libero quia quas libero ea. Eum consequatur provident et.,Congo,Morar Group,STORAGE,0b99cf7c-7075-42a1-b01b-a2972209e64d
0d179d4a-c956-4826-9635-83419c2cd9f1,Sleek Fresh Towels,9271,EUR,https://s3.amazonaws.com/uifaces/faces/twitter/okandungel/128.jpg,Optio corrupti architecto culpa fugit quasi consequatur. Id sint qui veniam. In inventore facere. Vel aut porro placeat est perspiciatis vero rem. Et eveniet cupiditate explicabo et aspernatur omnis corporis doloremque tenetur.,1,Excepturi autem et quam unde ab laboriosam. Et vel voluptate sint quidem tempore sequi. Quo numquam eum. Vero soluta architecto accusamus tempore corrupti possimus itaque omnis. Corrupti non ipsum. Incidunt eligendi qui soluta aspernatur soluta.,Jersey,Huel Inc,OK,0b99cf7c-7075-42a1-b01b-a2972209e64d
08523757-b4ac-4aa4-a6b5-e48dff81a808,Fantastic Granite Hat,9781,USD,https://s3.amazonaws.com/uifaces/faces/twitter/nachtmeister/128.jpg,Saepe distinctio omnis voluptatem nam iste aliquam consequatur. Molestiae unde magni mollitia est unde. Soluta consequatur illum quia necessitatibus accusamus ipsam. A expedita repudiandae minima quis qui temporibus impedit.,4,Unde consequuntur quod repellendus officiis optio perferendis saepe aut. Dolorum in quis. Ut est laboriosam laudantium molestiae et doloribus.,Nigeria,Bergnaum, O'Kon and Wyman,OK,18da6328-d816-4e95-a736-70b67953c59c
